Device Index/Type/Data ID,,,,0_4_201000,0_4_201012,0_4_201030,0_4_201036,0_4_201042,0_4_201592,0_4_201598
"Date/Time,DTmode,Record Type,Profile Index,0144341825 - Volts A-N,0144341825 - Amps A,""0144341825 - Watts, Phase A"",""0144341825 - VARs, Phase A"",""0144341825 - VAs, Phase A"",""0144341825 - W-hours in the Interval, Received, Phase A"",""0144341825 - W-hours in the Interval, Delivered, Phase A"""
"23/05/2020 17:50:00.000,-1,Log 1,1,""209,3272705"",""1,574653387"",""315,4253235"",""114,6679688"",""335,6208801"",,"
"23/05/2020 18:00:00.000,-1,Log 1,1,""211,5850677"",""2,241446018"",""438,9715576"",""174,9511719"",""472,5490723"",,"
"23/05/2020 18:10:00.000,-1,Log 1,1,""210,1458893"",""1,84023273"",""344,0444946"",""176,6894531"",""386,7651062"",,"
"23/05/2020 18:20:00.000,-1,Log 1,1,""211,7661591"",""2,166159868"",""425,3512268"",""173,6035156"",""459,4133911"",,"
"23/05/2020 18:30:00.000,-1,Log 1,1,""212,343399"",""1,926731825"",""364,8259888"",""188,671875"",""410,7236023"",,"
"23/05/2020 18:40:00.000,-1,Log 1,1,""212,6999512"",""1,890097141"",""355,0089111"",""188,4960938"",""401,946228"",,"
"23/05/2020 18:50:00.000,-1,Log 1,1,""210,9443817"",""1,921082258"",""362,6166382"",""179,765625"",""404,73172"",,"
"23/05/2020 19:00:00.000,-1,Log 1,1,""211,6102753"",""1,883183718"",""349,7352295"",""188,4570313"",""397,2781372"",,"
"23/05/2020 19:10:00.000,-1,Log 1,1,""212,5765839"",""1,052930832"",""212,5280914"",""76,73339844"",""225,9564972"",,"
"23/05/2020 19:20:00.000,-1,Log 1,1,""214,5059509"",""1,058389664"",""214,2975769"",""77,71240234"",""227,9529114"",,"
"23/05/2020 19:30:00.000,-1,Log 1,1,""215,9320221"",""1,360694408"",""274,0186462"",""105,3173828"",""293,56073"",,"
"23/05/2020 19:40:00.000,-1,Log 1,1,""217,0957031"",""1,31127584"",""263,0610352"",""103,4130859"",""282,6572876"",,"
"23/05/2020 19:50:00.000,-1,Log 1,1,""215,9240112"",""1,653543711"",""346,2806396"",""85,33691406"",""356,6411133"",,"
"23/05/2020 20:00:00.000,-1,Log 1,1,""215,8013763"",""1,620246768"",""338,8047791"",""85,4296875"",""349,4096375"",,"
"23/05/2020 20:10:00.000,-1,Log 1,1,""216,619751"",""1,034210324"",""192,604248"",""-113,3837891"",""223,5008087"",,"
"23/05/2020 20:20:00.000,-1,Log 1,1,""215,6191559"",""1,0364573"",""191,649353"",""-114,3457031"",""223,1678619"",,"
"23/05/2020 20:30:00.000,-1,Log 1,1,""216,9337463"",""1,647734761"",""345,8540039"",""90,24902344"",""357,4348145"",,"
"23/05/2020 20:40:00.000,-1,Log 1,1,""215,7288818"",""1,785243273"",""375,8153992"",""96,66992188"",""388,0488892"",,"
"23/05/2020 20:50:00.000,-1,Log 1,1,""214,5054779"",""1,799314618"",""378,883667"",""72,12646484"",""385,6879883"",,"
"23/05/2020 21:00:00.000,-1,Log 1,1,""213,2620087"",""1,274581075"",""237,8599243"",""-129,7998047"",""270,9703369"",,"
"23/05/2020 21:10:00.000,-1,Log 1,1,""214,0469818"",""0,6102086306"",""104,084671"",""-79,14794922"",""130,7592621"",,"
"23/05/2020 21:20:00.000,-1,Log 1,1,""215,4596558"",""1,80569005"",""345,6210022"",""179,6289063"",""389,5116882"",,"
"23/05/2020 21:30:00.000,-1,Log 1,1,""215,1523285"",""1,820686936"",""348,9230347"",""178,0175781"",""391,711792"",,"
"23/05/2020 21:40:00.000,-1,Log 1,1,""214,2715912"",""1,798855186"",""343,0007935"",""175,7128906"",""385,3869019"",,"
"23/05/2020 21:50:00.000,-1,Log 1,1,""214,7668457"",""4,139993668"",""878,0875244"",""144,6679688"",""889,925293"",,"
"23/05/2020 22:00:00.000,-1,Log 1,1,""212,4884491"",""4,177458763"",""876,8560791"",""142,2119141"",""888,3133545"",,"
"23/05/2020 22:10:00.000,-1,Log 1,1,""213,9473114"",""1,974471211"",""387,8307495"",""168,1933594"",""422,7302856"",,"
"23/05/2020 22:20:00.000,-1,Log 1,1,""215,9138794"",""1,783031344"",""353,2632751"",""-152,3046875"",""384,6967773"",,"
"23/05/2020 22:30:00.000,-1,Log 1,1,""214,9694977"",""1,5213449"",""308,8304443"",""-113,2421875"",""328,9373474"",,"
"23/05/2020 22:40:00.000,-1,Log 1,1,""214,5490112"",""1,396446943"",""280,5929871"",""-105,9863281"",""299,9432678"",,"
"23/05/2020 22:50:00.000,-1,Log 1,1,""215,8395538"",""0,4375156462"",""64,12786865"",""-69,14306641"",""94,30415344"",,"
"23/05/2020 23:00:00.000,-1,Log 1,1,""216,1231232"",""1,673823118"",""353,9904175"",""68,15917969"",""360,4925842"",,"
"23/05/2020 23:10:00.000,-1,Log 1,1,""214,6938019"",""3,807939053"",""745,4893799"",335,""817,2988892"",,"
"23/05/2020 23:20:00.000,-1,Log 1,1,""214,9825745"",""2,108397722"",""434,1932678"",""128,9208984"",""452,9290161"",,"
"23/05/2020 23:30:00.000,-1,Log 1,1,""216,9764252"",""2,146327496"",""445,9779358"",""135,0830078"",""465,9870911"",,"
"23/05/2020 23:40:00.000,-1,Log 1,1,""217,3324585"",""2,353674173"",""485,0819397"",""161,8359375"",""511,3676147"",,"
"23/05/2020 23:50:00.000,-1,Log 1,1,""216,2529755"",""2,344626904"",""482,1939697"",""160,5175781"",""508,208374"",,"
"24/05/2020 00:00:00.000,-1,Log 1,1,""216,9368744"",""2,341145992"",""481,774231"",""162,3144531"",""508,3808899"",,"
"24/05/2020 00:10:00.000,-1,Log 1,1,""215,1433868"",""2,323754787"",""473,9286804"",""158,0859375"",""499,5996399"",,"
"24/05/2020 00:20:00.000,-1,Log 1,1,""215,6598053"",""2,314259529"",""473,0782776"",""160,0683594"",""499,425293"",,"
"24/05/2020 00:30:00.000,-1,Log 1,1,""216,4356232"",""2,10384798"",""434,718689"",""136,6503906"",""455,6899414"",,"
"24/05/2020 00:40:00.000,-1,Log 1,1,""217,8747711"",""1,23940444"",""256,097168"",""85,54199219"",""270,0054016"",,"
"24/05/2020 00:50:00.000,-1,Log 1,1,""219,0906219"",""1,828449845"",""352,6505737"",""190,3417969"",""400,7398987"",,"
"24/05/2020 01:00:00.000,-1,Log 1,1,""219,1747284"",""1,809333086"",""347,1947021"",""191,1035156"",""396,3157959"",,"
"24/05/2020 01:10:00.000,-1,Log 1,1,""220,6081085"",""0,9409614801"",""203,3461761"",""43,65966797"",""207,980484"",,"
